email_body,is_phishing
Click here to verify your account immediately,1
Meeting scheduled for tomorrow at 2pm,0
Urgent: Update payment information now,1
Project update: Q4 goals achieved,0
Confirm your identity within 24 hours,1
Thank you for using our service,0
ACT NOW: Your account will be closed,1
Weekly status report attached,0
VERIFY ACCOUNT: Click link below,1
Coffee meeting next week?,0
Your credit card needs immediate attention,1
Quarterly earnings report,0
Claim your free reward now,1
Team lunch tomorrow at noon,0
Suspicious activity detected on your account,1
New feature deployment completed,0
Reset your password by clicking here,1
Customer feedback survey,0
Your package requires signature confirmation,1
Budget review meeting scheduled,0
Bank alert: Unauthorized access attempt,1
Project completion status,0
Win free iPhone today,1
Tuesday standup at 10am,0
Confirm shipping address for delivery,1
Quarterly performance reviews,0
Click to activate premium features,1
Employee handbook update,0
Your subscription will expire tomorrow,1
Infrastructure maintenance report,0
Verify bank account information,1
New office location announcement,0
Limited time offer - Act fast,1
Performance improvement plan status,0
Update billing address immediately,1
Marketing campaign results,0
Confirm your email to proceed,1
Security audit completion,0
Prize winner notification,1
Monthly team metrics,0
Validate your credentials now,1
Product launch announcement,0
Urgent action required,1
Board meeting agenda,0
